dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,200,split,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.003,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,200,split,,,,0.753/0.003,0.829/0.003,0.813/0.003,0.771/0.006,0.791/0.003,0.49/0.005,0.405/0.002,,,,0.491/0.004
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.751/0.003,0.825/0.002,0.804/0.003,0.78/0.007,0.792/0.004,0.482/0.004,0.407/0.002,,,,0.495/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,200,split,,,5,0.752/0.002,0.828/0.002,0.817/0.008,0.764/0.007,0.789/0.002,0.492/0.007,0.406/0.002,,,,0.494/0.004
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.751/0.003,0.825/0.002,0.803/0.005,0.782/0.004,0.792/0.003,0.482/0.006,0.407/0.002,,,,0.495/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,200,split,,true,,0.748/0.002,0.822/0.002,0.804/0.004,0.774/0.007,0.789/0.003,0.478/0.004,0.409/0.001,,,,0.501/0.003
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,200,split,,true,,0.75/0.028,0.723/0.021,0.769/0.027,0.941/0.013,0.846/0.021,0.237/0.019,0.413/0.019,,,,0.517/0.038
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,split,,,,0.75/0.028,0.722/0.022,0.769/0.027,0.941/0.011,0.846/0.02,0.238/0.016,0.413/0.019,,,,0.517/0.038
ASSISTments 2015,LSTM-DKT-S+,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.751/0.027,0.724/0.02,0.768/0.026,0.944/0.013,0.847/0.02,0.236/0.014,0.413/0.019,,,,0.515/0.038
ASSISTments 2015,SAKT,13,0.001,0.2,100_1_1_50,32,200,split,true,,5,0.749/0.028,0.714/0.023,0.767/0.029,0.944/0.009,0.846/0.02,0.23/0.022,0.415/0.02,,,,0.522/0.04
ASSISTments 2015,LSTM-DKT,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.75/0.028,0.724/0.021,0.769/0.027,0.943/0.011,0.847/0.02,0.237/0.017,0.413/0.019,,,,0.515/0.038
ASSISTments 2015,Vanilla-DKT,42,0.001,0.2,50_1_50_1,32,200,split,,true,,0.749/0.028,0.721/0.022,0.77/0.025,0.938/0.018,0.845/0.022,0.236/0.016,0.414/0.019,,,,0.517/0.039
ASSISTments 2017,DKVMN,13,0.01,0.2,100_20_50_100,32,200,split,true,,,0.68/0.011,0.702/0.009,0.614/0.037,0.367/0.046,0.459/0.046,0.268/0.026,0.453/0.006,,,,0.596/0.013
ASSISTments 2017,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,split,,,,0.678/0.013,0.695/0.011,0.616/0.03,0.344/0.076,0.438/0.07,0.257/0.032,0.454/0.006,,,,0.599/0.012
ASSISTments 2017,LSTM-DKT-S+,42,0.01,0.2,100_1_20_1,32,200,split,,true,,0.69/0.014,0.719/0.008,0.619/0.021,0.422/0.045,0.502/0.039,0.298/0.016,0.448/0.008,,,,0.585/0.016
ASSISTments 2017,SAKT,42,0.001,0.2,50_20_20_1,32,200,split,,true,5,0.669/0.014,0.655/0.024,0.609/0.031,0.292/0.076,0.391/0.079,0.227/0.035,0.463/0.004,,,,0.619/0.007
ASSISTments 2017,LSTM-DKT,42,0.01,0.2,100_1_20_1,32,200,split,,true,,0.689/0.016,0.719/0.01,0.62/0.023,0.418/0.04,0.499/0.035,0.297/0.016,0.448/0.009,,,,0.586/0.018
ASSISTments 2017,Vanilla-DKT,42,0.001,0.2,100_1_50_1,32,200,split,,true,,0.683/0.015,0.708/0.008,0.612/0.022,0.398/0.063,0.481/0.052,0.279/0.02,0.451/0.008,,,,0.593/0.016
Synthetic-K2,DKVMN,42,0.001,0.2,50_50_20_50,32,200,split,true,,,0.806/0.002,0.872/0.002,0.852/0.004,0.868/0.002,0.86/0.002,0.546/0.006,0.365/0.002,,,,0.41/0.004
Synthetic-K2,DKVMN-Paper,42,0.001,0.2,50_50_20_50,32,200,split,,,,0.806/0.003,0.872/0.002,0.852/0.005,0.867/0.002,0.859/0.002,0.546/0.006,0.365/0.002,,,,0.411/0.004
