dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,200,split,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.003,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,200,split,,,,0.753/0.003,0.829/0.003,0.813/0.003,0.771/0.006,0.791/0.003,0.49/0.005,0.405/0.002,,,,0.491/0.004
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.751/0.003,0.825/0.002,0.804/0.003,0.78/0.006,0.792/0.004,0.482/0.005,0.407/0.001,,,,0.495/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,200,split,,,5,0.753/0.004,0.828/0.003,0.807/0.007,0.779/0.005,0.793/0.003,0.486/0.009,0.405/0.002,,,,0.492/0.004
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.751/0.003,0.825/0.002,0.804/0.005,0.78/0.002,0.792/0.003,0.483/0.007,0.407/0.002,,,,0.495/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,200,split,,true,,0.749/0.002,0.821/0.002,0.804/0.005,0.777/0.005,0.79/0.003,0.479/0.005,0.409/0.001,,,,0.501/0.003
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,200,split,,true,,0.75/0.028,0.722/0.022,0.769/0.027,0.941/0.013,0.846/0.021,0.239/0.019,0.413/0.019,,,,0.517/0.038
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,split,,,,0.75/0.028,0.721/0.023,0.769/0.027,0.942/0.012,0.846/0.02,0.235/0.019,0.414/0.02,,,,0.517/0.039
ASSISTments 2015,LSTM-DKT-S+,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.75/0.028,0.723/0.021,0.77/0.027,0.941/0.011,0.846/0.02,0.239/0.016,0.413/0.019,,,,0.516/0.038
ASSISTments 2015,SAKT,13,0.001,0.2,100_1_1_50,32,200,split,true,,5,0.749/0.028,0.714/0.023,0.767/0.029,0.943/0.006,0.846/0.02,0.23/0.022,0.416/0.019,,,,0.522/0.039
ASSISTments 2015,LSTM-DKT,13,0.001,0.2,100_1_50_1,32,200,split,,true,,0.75/0.028,0.724/0.021,0.769/0.027,0.943/0.011,0.847/0.021,0.238/0.016,0.413/0.019,,,,0.515/0.038
ASSISTments 2015,Vanilla-DKT,42,0.001,0.2,50_1_50_1,32,200,split,,true,,0.749/0.028,0.721/0.022,0.769/0.025,0.939/0.017,0.846/0.021,0.236/0.015,0.414/0.019,,,,0.517/0.039
ASSISTments 2017,DKVMN,13,0.01,0.2,100_20_50_100,32,200,split,true,,,0.68/0.011,0.702/0.01,0.612/0.034,0.372/0.053,0.462/0.051,0.268/0.027,0.453/0.006,,,,0.596/0.013
ASSISTments 2017,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,split,,,,0.678/0.013,0.695/0.01,0.616/0.027,0.343/0.075,0.438/0.071,0.256/0.032,0.454/0.006,,,,0.599/0.013
ASSISTments 2017,LSTM-DKT-S+,42,0.01,0.2,100_1_20_1,32,200,split,,true,,0.689/0.015,0.719/0.01,0.621/0.023,0.414/0.046,0.496/0.041,0.296/0.019,0.448/0.008,,,,0.585/0.017
ASSISTments 2017,SAKT,42,0.001,0.2,50_20_20_1,32,200,split,,true,5,0.669/0.014,0.656/0.024,0.61/0.03,0.294/0.077,0.393/0.08,0.229/0.035,0.463/0.004,,,,0.619/0.007
ASSISTments 2017,LSTM-DKT,42,0.01,0.2,100_1_20_1,32,200,split,,true,,0.689/0.015,0.719/0.009,0.619/0.021,0.417/0.055,0.497/0.047,0.295/0.02,0.448/0.008,,,,0.586/0.017
ASSISTments 2017,Vanilla-DKT,42,0.001,0.2,100_1_50_1,32,200,split,,true,,0.683/0.015,0.709/0.007,0.613/0.023,0.397/0.059,0.48/0.049,0.28/0.019,0.451/0.008,,,,0.592/0.017
Synthetic-K2,DKVMN,42,0.001,0.2,50_50_20_50,32,200,split,true,,,0.806/0.002,0.872/0.002,0.852/0.004,0.868/0.002,0.86/0.002,0.546/0.006,0.365/0.002,,,,0.41/0.004
Synthetic-K2,DKVMN-Paper,42,0.001,0.2,50_50_20_50,32,200,split,,,,0.806/0.003,0.872/0.002,0.852/0.005,0.867/0.002,0.859/0.002,0.546/0.006,0.365/0.002,,,,0.411/0.004
