dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
Synthetic-K5,DKVMN,42,1e 3,0.2,50_50_20_50,32,200,split,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,13,1e 2,0.2,100_50_20_100,32,200,split,true,,,0.753/0.003,0.829/0.003,0.811/0.004,0.775/0.01,0.792/0.004,0.49/0.005,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN,42,1e 3,0.2,50_50_20_1,32,200,split,true,true,,0.752/0.002,0.828/0.002,0.804/0.003,0.783/0.006,0.794/0.003,0.485/0.004,0.405/0.001,,,,0.492/0.003
Synthetic-K5,DKVMN,42,1e 3,0.2,50_50_50_1,32,200,split,true,true,,0.753/0.003,0.828/0.002,0.803/0.002,0.787/0.007,0.794/0.004,0.484/0.004,0.406/0.001,,,,0.493/0.003
Synthetic-K5,DKVMN,13,1e 3,0.2,50_50_20_100,32,200,split,true,,,0.753/0.003,0.829/0.002,0.812/0.003,0.773/0.006,0.792/0.004,0.49/0.005,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,1e 3,0.2,100_50_20_100,32,200,split,,,,0.754/0.003,0.829/0.002,0.811/0.002,0.776/0.005,0.793/0.003,0.492/0.005,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,1e 2,0.2,100_50_20_1,32,200,split,true,true,,0.753/0.003,0.827/0.002,0.805/0.005,0.782/0.005,0.793/0.003,0.485/0.006,0.406/0.001,,,,0.492/0.003
Synthetic-K5,DKVMN,42,1e 2,0.2,100_50_50_100,32,200,split,,,,0.752/0.003,0.827/0.003,0.813/0.007,0.769/0.012,0.79/0.005,0.489/0.007,0.406/0.002,,,,0.493/0.004
Synthetic-K5,DKVMN,13,1e 2,0.2,50_50_50_100,32,200,split,true,,,0.753/0.003,0.829/0.002,0.809/0.008,0.778/0.013,0.793/0.004,0.488/0.007,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN,13,1e 2,0.2,100_20_20_1,32,200,split,true,true,,0.752/0.003,0.827/0.002,0.808/0.003,0.777/0.007,0.792/0.004,0.487/0.006,0.406/0.001,,,,0.493/0.003
