dataset,model,seed,init-lr,dropout,layer-sizes,batch-size,max-attempt-count,max-attempt-filter,onehot-input,output-per-skill,n-heads,acc,auc,prec,recall,f1,mcc,rmse,aic,aicc,bic,log-loss
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,200,split,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,200,cut,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,500,split,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,500,cut,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN,42,0.001,0.2,50_50_20_50,32,,,true,,,0.754/0.003,0.829/0.002,0.812/0.003,0.775/0.005,0.793/0.003,0.491/0.006,0.404/0.002,,,,0.49/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,200,cut,,,,0.753/0.003,0.829/0.003,0.812/0.003,0.773/0.007,0.792/0.004,0.49/0.006,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,200,split,,,,0.753/0.003,0.829/0.003,0.812/0.003,0.773/0.007,0.792/0.004,0.49/0.006,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,,,,,,0.753/0.003,0.829/0.003,0.812/0.003,0.773/0.007,0.792/0.004,0.49/0.006,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,500,cut,,,,0.753/0.003,0.829/0.003,0.812/0.003,0.773/0.007,0.792/0.004,0.49/0.006,0.405/0.002,,,,0.491/0.003
Synthetic-K5,DKVMN-Paper,13,0.001,0.2,50_50_50_50,32,500,split,,,,0.753/0.003,0.829/0.003,0.812/0.003,0.773/0.007,0.792/0.004,0.49/0.006,0.405/0.002,,,,0.491/0.003
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,cut,true,true,,0.751/0.002,0.826/0.002,0.805/0.003,0.779/0.008,0.792/0.004,0.483/0.004,0.406/0.001,,,,0.495/0.003
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,,,true,true,,0.751/0.002,0.826/0.002,0.805/0.003,0.779/0.008,0.792/0.004,0.483/0.004,0.406/0.001,,,,0.495/0.003
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,500,split,true,true,,0.751/0.002,0.826/0.002,0.805/0.003,0.779/0.008,0.792/0.004,0.483/0.004,0.406/0.001,,,,0.495/0.003
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,500,cut,true,true,,0.751/0.002,0.826/0.002,0.805/0.003,0.779/0.008,0.792/0.004,0.483/0.004,0.406/0.001,,,,0.495/0.003
Synthetic-K5,LSTM-DKT-S+,13,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.751/0.002,0.826/0.002,0.805/0.003,0.779/0.008,0.792/0.004,0.483/0.004,0.406/0.001,,,,0.495/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,500,split,,,5,0.753/0.003,0.828/0.002,0.808/0.006,0.78/0.004,0.794/0.002,0.488/0.007,0.405/0.002,,,,0.492/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,,,,,5,0.753/0.003,0.828/0.002,0.808/0.006,0.78/0.004,0.794/0.002,0.488/0.007,0.405/0.002,,,,0.492/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,500,cut,,,5,0.753/0.003,0.828/0.002,0.808/0.006,0.78/0.004,0.794/0.002,0.488/0.007,0.405/0.002,,,,0.492/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,200,cut,,,5,0.753/0.003,0.828/0.002,0.808/0.006,0.78/0.004,0.794/0.002,0.488/0.007,0.405/0.002,,,,0.492/0.003
Synthetic-K5,SAKT,42,0.001,0.2,100_20_20_100,32,200,split,,,5,0.753/0.003,0.828/0.002,0.808/0.006,0.78/0.004,0.794/0.002,0.488/0.007,0.405/0.002,,,,0.492/0.003
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,200,cut,true,true,,0.752/0.003,0.827/0.002,0.807/0.004,0.779/0.003,0.793/0.003,0.485/0.005,0.406/0.002,,,,0.493/0.003
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,500,cut,true,true,,0.752/0.003,0.827/0.002,0.807/0.004,0.779/0.003,0.793/0.003,0.485/0.005,0.406/0.002,,,,0.493/0.003
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,500,split,true,true,,0.752/0.003,0.827/0.002,0.807/0.004,0.779/0.003,0.793/0.003,0.485/0.005,0.406/0.002,,,,0.493/0.003
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,,,true,true,,0.752/0.003,0.827/0.002,0.807/0.004,0.779/0.003,0.793/0.003,0.485/0.005,0.406/0.002,,,,0.493/0.003
Synthetic-K5,LSTM-DKT,42,0.001,0.2,50_1_1_1,32,200,split,true,true,,0.752/0.003,0.827/0.002,0.807/0.004,0.779/0.003,0.793/0.003,0.485/0.005,0.406/0.002,,,,0.493/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,,,,true,,0.749/0.003,0.822/0.002,0.803/0.005,0.777/0.002,0.79/0.002,0.478/0.007,0.409/0.002,,,,0.501/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,500,split,,true,,0.749/0.003,0.822/0.002,0.803/0.005,0.777/0.002,0.79/0.002,0.478/0.007,0.409/0.002,,,,0.501/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,200,split,,true,,0.749/0.003,0.822/0.002,0.803/0.005,0.777/0.002,0.79/0.002,0.478/0.007,0.409/0.002,,,,0.501/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,200,cut,,true,,0.749/0.003,0.822/0.002,0.803/0.005,0.777/0.002,0.79/0.002,0.478/0.007,0.409/0.002,,,,0.501/0.003
Synthetic-K5,Vanilla-DKT,13,0.001,0.2,100_1_20_1,32,500,cut,,true,,0.749/0.003,0.822/0.002,0.803/0.005,0.777/0.002,0.79/0.002,0.478/0.007,0.409/0.002,,,,0.501/0.003
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,500,split,,true,,0.754/0.03,0.725/0.024,0.772/0.028,0.945/0.016,0.849/0.023,0.238/0.016,0.411/0.021,,,,0.511/0.042
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,500,cut,,true,,0.755/0.03,0.725/0.024,0.772/0.029,0.945/0.015,0.85/0.023,0.24/0.016,0.41/0.021,,,,0.511/0.043
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,,,,true,,0.755/0.03,0.725/0.024,0.772/0.029,0.945/0.015,0.85/0.023,0.24/0.015,0.41/0.021,,,,0.511/0.043
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,200,cut,,true,,0.754/0.03,0.725/0.024,0.772/0.028,0.945/0.015,0.85/0.023,0.237/0.015,0.411/0.021,,,,0.511/0.043
ASSISTments 2015,DKVMN,13,0.001,0.2,50_20_20_1,32,200,split,,true,,0.75/0.028,0.723/0.02,0.769/0.026,0.941/0.013,0.846/0.021,0.239/0.015,0.413/0.019,,,,0.517/0.038
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,split,,,,0.75/0.026,0.717/0.021,0.768/0.029,0.943/0.006,0.847/0.019,0.235/0.014,0.415/0.018,,,,0.519/0.037
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,200,cut,,,,0.753/0.028,0.718/0.023,0.772/0.032,0.943/0.009,0.849/0.021,0.236/0.016,0.413/0.02,,,,0.516/0.041
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,500,split,,,,0.753/0.029,0.719/0.024,0.772/0.033,0.943/0.008,0.849/0.021,0.238/0.023,0.413/0.02,,,,0.515/0.042
ASSISTments 2015,DKVMN-Paper,42,0.01,0.2,50_50_50_100,32,,,,,,0.753/0.029,0.719/0.025,0.771/0.032,0.946/0.012,0.849/0.022,0.233/0.02,0.412/0.021,,,,0.515/0.043
